,Description,Length
OG1518,Proline--tRNA ligase,616
OG1519,Galactokinase,402
OG1520,Foldase protein PrsA,308
OG1521,DNA polymerase III PolC-type,1658
OG1522,Trifunctional NAD biosynthesis/regulator protein NadR,379
OG1523,hypothetical protein,430
OG1524,Cystathionine beta-lyase,380
OG1525,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,264
OG1526,Regulatory protein Spx,132
OG1527,hypothetical protein,176
OG1528,ATP-dependent Clp protease proteolytic subunit,199
OG1529,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,288
OG1530,Biotin carboxylase,455
OG1531,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,144
OG1532,3-oxoacyl-[acyl-carrier-protein] synthase 2,411
OG1533,Ribosomal large subunit pseudouridine synthase D,301
OG1534,3-oxoacyl-[acyl-carrier-protein] reductase FabG,243
OG1535,hypothetical protein,217
OG1536,DegV domain-containing protein,278
OG1537,Acyl carrier protein,73
OG1538,HTH-type transcriptional regulator Hpr,146
OG1539,Mannose-6-phosphate isomerase ManA,315
OG1540,DNA-binding protein HU,91
OG1541,Ribosome-binding factor A,119
OG1542,putative ribosomal protein YlxQ,101
OG1543,hypothetical protein,108
OG1544,Lipoprotein signal peptidase,150
OG1545,Transcription termination/antitermination protein NusA,382
OG1546,Ribosome maturation factor RimP,157
OG1547,Antiholin-like protein LrgA,134
OG1548,ABC-type transporter ATP-binding protein EcsA,256
OG1549,Inner membrane protein YohK,232
OG1550,50S ribosomal protein L1,229
OG1551,50S ribosomal protein L11,141
OG1552,Alanine--tRNA ligase,872
OG1553,hypothetical protein,69
OG1554,hypothetical protein,392
OG1555,Aminopeptidase C,454
OG1556,Response regulator MprA AND Transcriptional regulatory protein TcrA,228
OG1557,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],605
OG1558,Regulatory protein Spx,133
OG1559,Conserved virulence factor B,285
OG1560,SsrA-binding protein,155
OG1561,UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1,427
OG1562,Orotate phosphoribosyltransferase,209
OG1563,Trigger factor,427
OG1564,Ribosome-recycling factor,185
OG1565,Uridylate kinase,238
OG1566,hypothetical protein,179
OG1567,Acetate kinase,395
OG1568,GTP-binding protein TypA/BipA,613
OG1569,Adenylosuccinate synthetase,430
OG1570,Phosphate-binding protein PstS 1,298
OG1571,Phosphoglycerate transporter protein,459
OG1572,Branched-chain-amino-acid aminotransferase,340
OG1573,Phosphate-binding protein PstS 1,274
OG1574,hypothetical protein,307
OG1575,hypothetical protein,79
OG1576,hypothetical protein,297
OG1577,Arginine repressor,148
OG1578,Segregation and condensation protein B,188
OG1579,Riboflavin transporter RibU,206
OG1580,Trehalose import ATP-binding protein SugC,378
OG1581,Lysine--tRNA ligase,494
OG1582,Diacylglycerol kinase,342
OG1583,Histidine--tRNA ligase,430
OG1584,Lichenan permease IIC component AND PTS system oligo-beta-mannoside-specific EIIC component,445
OG1585,Aspartate--tRNA ligase,590
OG1586,hypothetical protein,309
OG1587,hypothetical protein,291
OG1588,hypothetical protein,294
OG1589,hypothetical protein,80
OG1590,putative tRNA-dihydrouridine synthase,334
OG1591,Cell division ATP-binding protein FtsE,230
OG1592,50S ribosomal protein L7/L12,121
OG1593,Peptide chain release factor 2,365
OG1594,Lichenan-specific phosphotransferase enzyme IIB component,108
OG1595,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,449
OG1596,HTH-type transcriptional regulator GlvR,248
OG1597,Ribosomal RNA small subunit methyltransferase H,317
OG1598,Thymidylate synthase,279
OG1599,DEAD-box ATP-dependent RNA helicase CshB,446
OG1600,Phospho-N-acetylmuramoyl-pentapeptide-transferase,329
OG1601,Riboflavin transporter RibZ AND putative transport protein HsrA,457
OG1602,Superoxide dismutase [Mn],206
OG1603,hypothetical protein,407
OG1604,hypothetical protein,409
OG1605,Galactokinase AND D-glycero-alpha-D-manno-heptose 7-phosphate kinase,310
OG1606,hypothetical protein,135
OG1607,Ribosome biogenesis GTPase A,283
OG1608,Initiation-control protein YabA,108
OG1609,Ribonuclease J 2,570
OG1610,Phosphoribosylformylglycinamidine synthase subunit PurL,739
OG1611,hypothetical protein,286
OG1612,Thymidylate kinase,211
OG1613,Transcriptional regulatory protein WalR,233
OG1614,hypothetical protein,176
OG1615,Phosphoribosylformylglycinamidine cyclo-ligase,338
OG1616,Aspartate-semialdehyde dehydrogenase,361
OG1617,Orotidine 5'-phosphate decarboxylase,237
OG1618,Putative metallo-hydrolase YycJ,270
OG1619,Transketolase,658
OG1620,D-alanyl carrier protein,79
OG1621,Ribosomal RNA small subunit methyltransferase G,238
OG1622,Phosphate import ATP-binding protein PstB 3,269
OG1623,Heptaprenyl diphosphate synthase component 2,319
OG1624,60 kDa chaperonin,542
OG1625,hypothetical protein,176
OG1626,Threonine--tRNA ligase,646
OG1627,UTP--glucose-1-phosphate uridylyltransferase,313
OG1628,Glycerol-3-phosphate dehydrogenase [NAD(P)+],342
OG1629,10 kDa chaperonin,94
OG1630,Thioredoxin-like protein YtpP,105
OG1631,Tyrosine--tRNA ligase,419
OG1632,TelA-like protein,392
OG1633,hypothetical protein,105
OG1634,ATP synthase subunit c,71
OG1635,N-acetylgalactosamine-6-phosphate deacetylase,382
OG1636,DNA gyrase subunit A,829
OG1637,ATP-dependent 6-phosphofructokinase,340
OG1638,Pyruvate kinase,502
OG1639,L-lactate dehydrogenase 1,325
OG1640,hypothetical protein,317
OG1641,hypothetical protein,364
OG1642,ATP-dependent DNA helicase PcrA,758
OG1643,hypothetical protein,680
OG1644,Galactose/methyl galactoside import ATP-binding protein MglA AND Xylose import ATP-binding protein XylG,506
OG1645,putative protein YloA,540
OG1646,Multidrug resistance protein MdtL,480
OG1647,RNA polymerase-associated protein RapA,1030
OG1648,FMN-dependent NADH-azoreductase,201
OG1649,Lipid II flippase MurJ,557
OG1650,hypothetical protein,79
OG1651,UDP-N-acetylmuramate--L-alanine ligase,457
OG1652,Arginine repressor,152
OG1653,Arginine--tRNA ligase,564
OG1654,putative tRNA sulfurtransferase,406
OG1655,Deoxyguanosine kinase,217
OG1656,DNA-directed RNA polymerase subunit beta,1196
OG1657,DNA gyrase subunit B,651
OG1658,DNA-directed RNA polymerase subunit beta',1207
OG1659,Arginine transport system permease protein ArtQ,228
OG1660,hypothetical protein,66
OG1661,hypothetical protein,293
OG1662,Arginine transport ATP-binding protein ArtM,244
OG1663,hypothetical protein,527
OG1664,Adapter protein MecA,233
OG1665,putative ABC transporter ATP-binding protein,256
OG1666,hypothetical protein,418
OG1667,hypothetical protein,163
OG1668,Iron-sulfur cluster assembly scaffold protein IscU,152
OG1669,hypothetical protein,470
OG1670,CTP synthase,535
OG1671,Glutamyl-tRNA(Gln) amidotransferase subunit C,101
OG1672,Uracil phosphoribosyltransferase,211
OG1673,50S ribosomal protein L21,104
OG1674,hypothetical protein,180
OG1675,Na(+)/H(+) antiporter,379
OG1676,ATP synthase subunit a,237
OG1677,Endoribonuclease YbeY,162
OG1678,Glutamyl-tRNA(Gln) amidotransferase subunit A,488
OG1679,Putative amidase AmiC AND 6-aminohexanoate-cyclic-dimer hydrolase AND Glutamyl-tRNA(Gln) amidotransferase subunit A,499
OG1680,ATP synthase subunit b,168
OG1681,putative protein YlbL,343
OG1682,Phosphopantetheine adenylyltransferase,183
OG1683,ATP synthase subunit alpha,500
OG1684,Deoxyuridine 5'-triphosphate nucleotidohydrolase,150
OG1685,Phosphoglucosamine mutase,452
OG1686,Diadenylate cyclase,292
OG1687,Glycine--tRNA ligase alpha subunit,317
OG1688,Glycine--tRNA ligase beta subunit,674
OG1689,hypothetical protein,80
OG1690,Chloride/fluoride channel protein,403
OG1691,Carbamoyl-phosphate synthase small chain,357
OG1692,hypothetical protein,61
OG1693,Nicotinate phosphoribosyltransferase pncB2,490
OG1694,Glucose-6-phosphate isomerase,448
OG1695,NH(3)-dependent NAD(+) synthetase,274
OG1696,putative ABC transporter ATP-binding protein,233
OG1697,Aspartate carbamoyltransferase,310
OG1698,hypothetical protein,176
OG1699,Uracil permease,430
OG1700,Bifunctional protein PyrR,173
OG1701,Transcriptional repressor SmtB,99
OG1702,50S ribosomal protein L28,64
OG1703,50S ribosomal protein L19,114
OG1704,Signal recognition particle protein,518
OG1705,hypothetical protein,219
OG1706,tRNA (guanine-N(1)-)-methyltransferase,251
OG1707,putative HTH-type transcriptional regulator YybR,115
OG1708,hypothetical protein,130
OG1709,Valine--tRNA ligase,880
OG1710,Phosphate import ATP-binding protein PstB 3,253
OG1711,ATP synthase subunit beta,486
OG1712,Dipeptidase A,474
OG1713,ATP synthase epsilon chain,141
OG1714,3'-5' exoribonuclease YhaM,314
OG1715,Peptide methionine sulfoxide reductase MsrA 2,183
OG1716,hypothetical protein,82
OG1717,Phosphate-specific transport system accessory protein PhoU,217
OG1718,hypothetical protein,114
OG1719,Ribulose-phosphate 3-epimerase,220
OG1720,Chorismate synthase,388
OG1721,23S rRNA (uracil-C(5))-methyltransferase RlmCD,513
OG1722,Dihydroorotate dehydrogenase A (fumarate),311
OG1723,Arginine transport ATP-binding protein ArtM,247
OG1724,Membrane-bound lytic murein transglycosylase F,714
OG1725,Uracil-DNA glycosylase,219
OG1726,hypothetical protein,181
OG1727,hypothetical protein,177
OG1728,hypothetical protein,82
OG1729,Ribose-5-phosphate isomerase B,149
OG1730,Ribulose-phosphate 3-epimerase,216
OG1731,HTH-type transcriptional regulator DegA,332
OG1732,putative zinc-binding alcohol dehydrogenase,348
OG1733,hypothetical protein,143
OG1734,hypothetical protein,389
OG1735,hypothetical protein,184
OG1736,hypothetical protein,114
OG1737,Ribosomal silencing factor RsfS,119
OG1738,hypothetical protein,196
OG1739,HTH-type transcriptional regulator HdfR,324
OG1740,putative nicotinate-nucleotide adenylyltransferase,203
OG1741,RNA-binding protein YhbY,104
OG1742,hypothetical protein,164
OG1743,GTPase HflX,414
OG1744,Inosine-5'-monophosphate dehydrogenase,493
OG1745,Vitamin B12 import ATP-binding protein BtuD,400
OG1746,hypothetical protein,84
OG1747,hypothetical protein,81
OG1748,hypothetical protein,267
OG1749,"putative dTDP-4-dehydrorhamnose 3,5-epimerase",197
OG1750,hypothetical protein,106
OG1751,putative protein YybH,138
OG1752,hypothetical protein,130
OG1753,hypothetical protein,246
OG1754,putative protein,554
OG1755,Peptide methionine sulfoxide reductase MsrB,142
OG1756,hypothetical protein,152
OG1757,Fe(2+) transporter FeoB,709
OG1758,hypothetical protein,72
OG1759,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",301
OG1760,Heptaprenyl diphosphate synthase component 2,337
OG1761,putative dual-specificity RNA methyltransferase RlmN,365
OG1762,Cyclodextrin-binding protein AND Maltose/maltodextrin-binding protein,410
OG1763,hypothetical protein,232
OG1764,Maltose transport system permease protein MalF,452
OG1765,Maltose transport system permease protein MalG,285
OG1766,hypothetical protein,284
OG1767,hypothetical protein,80
OG1768,hypothetical protein,215
OG1769,Endonuclease YhcR AND Mannosylglucosyl-3-phosphoglycerate phosphatase,447
OG1770,Trifunctional nucleotide phosphoesterase protein YfkN,256
OG1771,hypothetical protein,154
OG1772,PTS system glucose-specific EIIA component,161
OG1773,hypothetical protein,406
OG1774,hypothetical protein,166
OG1775,hypothetical protein,364
OG1776,hypothetical protein,37
OG1777,hypothetical protein,231
OG1778,putative protein YqgN,177
OG1779,Cold shock-like protein CspLA AND Cold shock protein CspC,65
OG1780,hypothetical protein,157
OG1781,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,477
OG1782,ESAT-6 secretion system extracellular protein A,96
OG1783,hypothetical protein,128
OG1784,hypothetical protein,60
OG1785,hypothetical protein,86
OG1786,hypothetical protein,63
OG1787,hypothetical protein,291
OG1788,hypothetical protein,150
OG1789,GTP-sensing transcriptional pleiotropic repressor CodY,262
OG1790,hypothetical protein,176
OG1791,hypothetical protein,190
OG1792,hypothetical protein,187
OG1793,hypothetical protein,163
OG1794,hypothetical protein,809
OG1795,hypothetical protein,263
OG1796,hypothetical protein,201
OG1797,hypothetical protein,198
OG1798,putative protein YccU,145
OG1799,hypothetical protein,240
OG1800,"Catechol-2,3-dioxygenase",281
OG1801,putative pyridine nucleotide-disulfide oxidoreductase RclA,449
OG1802,hypothetical protein,207
OG1803,Queuine tRNA-ribosyltransferase,382
OG1804,hypothetical protein,106
OG1805,hypothetical protein,120
OG1806,hypothetical protein,89
OG1807,hypothetical protein,526
OG1808,Riboflavin transporter RibZ,95
OG1809,ABC transporter ATP-binding protein NatA,254
OG1810,hypothetical protein,224
OG1811,Neutral endopeptidase,627
OG1812,hypothetical protein,86
OG1813,hypothetical protein,60
OG1814,Tyrosine recombinase XerC,241
OG1815,hypothetical protein,74
OG1816,hypothetical protein,115
OG1817,hypothetical protein,1046
OG1818,hypothetical protein,144
OG1819,hypothetical protein,155
OG1820,Type-1 restriction enzyme EcoKI specificity protein,275
OG1821,hypothetical protein,508
OG1822,hypothetical protein,493
OG1823,hypothetical protein,230
OG1824,hypothetical protein,224
OG1825,hypothetical protein,242
OG1826,Tetracycline repressor protein class B from transposon Tn10,208
OG1827,hypothetical protein,99
OG1828,hypothetical protein,345
OG1829,hypothetical protein,83
OG1830,hypothetical protein,157
OG1831,HTH-type transcriptional regulator GmuR,238
OG1832,6-phospho-beta-glucosidase GmuD,475
OG1833,3-oxoacyl-[acyl-carrier-protein] reductase FabG,246
OG1834,hypothetical protein,181
OG1835,L-arabinose transport system permease protein AraQ,278
OG1836,Lactose transport system permease protein LacF,318
OG1837,hypothetical protein,345
OG1838,hypothetical protein,435
OG1839,Lactose transport system permease protein LacF,185
OG1840,Lactose transport system permease protein LacF,116
OG1841,L-arabinose transport system permease protein AraQ,285
OG1842,Reducing end xylose-releasing exo-oligoxylanase,377
OG1843,Peptidoglycan-N-acetylglucosamine deacetylase,208
OG1844,Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB,270
OG1845,Xylan alpha-(1->2)-glucuronosidase,152
OG1846,hypothetical protein,587
OG1847,hypothetical protein,461
OG1848,HTH-type transcriptional repressor GlcR,253
OG1849,hypothetical protein,370
OG1850,Daunorubicin/doxorubicin resistance ATP-binding protein DrrA,309
OG1851,Multiple sugar-binding protein,439
OG1852,hypothetical protein,166
OG1853,hypothetical protein,133
OG1854,hypothetical protein,441
OG1855,hypothetical protein,327
OG1856,Glycerol uptake facilitator protein,242
OG1857,hypothetical protein,108
OG1858,FMN-dependent NADH-azoreductase 1,219
OG1859,hypothetical protein,111
OG1860,hypothetical protein,278
OG1861,hypothetical protein,325
OG1862,hypothetical protein,183
OG1863,hypothetical protein,216
OG1864,hypothetical protein,133
OG1865,hypothetical protein,62
OG1866,hypothetical protein,130
OG1867,50S ribosomal protein L10,171
OG1868,hypothetical protein,62
OG1869,hypothetical protein,101
OG1870,hypothetical protein,74
OG1871,HTH-type transcriptional regulator BenM,87
OG1872,hypothetical protein,55
OG1873,Glutamate decarboxylase,99
OG1874,HTH-type transcriptional regulator CysL,273
OG1875,hypothetical protein,191
OG1876,hypothetical protein,37
OG1877,Glutamate/gamma-aminobutyrate antiporter,503
OG1878,hypothetical protein,355
OG1879,Putative universal stress protein,145
OG1880,Divalent metal cation transporter MntH,535
OG1881,hypothetical protein,227
OG1882,hypothetical protein,244
OG1883,hypothetical protein,303
OG1884,hypothetical protein,100
OG1885,Vitamin B12 import ATP-binding protein BtuD,292
OG1886,hypothetical protein,254
OG1887,hypothetical protein,66
OG1888,hypothetical protein,97
OG1889,hypothetical protein,125
OG1890,hypothetical protein,126
OG1891,N-hydroxyarylamine O-acetyltransferase,267
OG1892,hypothetical protein,405
OG1893,hypothetical protein,231
OG1894,Calcium-transporting ATPase AND putative cation-transporting ATPase F,406
OG1895,Calcium-transporting ATPase,437
OG1896,hypothetical protein,305
OG1897,hypothetical protein,175
OG1898,hypothetical protein,110
OG1899,hypothetical protein,100
OG1900,hypothetical protein,79
OG1901,Isochorismate synthase MenF,647
OG1902,hypothetical protein,138
OG1903,hypothetical protein,133
OG1904,Quinone-dependent D-lactate dehydrogenase,559
OG1905,hypothetical protein,286
OG1906,Teichoic acid translocation permease protein TagG,268
OG1907,hypothetical protein,269
OG1908,Teichoic acids export ATP-binding protein TagH,204
OG1909,hypothetical protein,64
OG1910,putative glycosyltransferase EpsJ,231
OG1911,hypothetical protein,302
OG1912,hypothetical protein,54
OG1913,Arsenate reductase,134
OG1914,Tyrosine recombinase XerC,155
OG1915,hypothetical protein,140
OG1916,hypothetical protein,673
OG1917,Nisin leader peptide-processing serine protease NisP,286
OG1918,hypothetical protein,1035
OG1919,hypothetical protein,115
OG1920,hypothetical protein,384
OG1921,hypothetical protein,76
OG1922,hypothetical protein,520
OG1923,hypothetical protein,161
OG1924,hypothetical protein,193
OG1925,putative acyl--CoA ligase YhfT AND 2-succinylbenzoate--CoA ligase,414
OG1926,hypothetical protein,173
OG1927,hypothetical protein,202
OG1928,hypothetical protein,116
OG1929,hypothetical protein,111
OG1930,hypothetical protein,34
OG1931,D-glycero-alpha-D-manno-heptose 7-phosphate kinase,324
OG1932,hypothetical protein,86
OG1933,Phosphoheptose isomerase AND Phosphoheptose isomerase 1,191
OG1934,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase AND Histidine biosynthesis bifunctional protein HisB",181
OG1935,hypothetical protein,182
OG1936,DNA repair protein RadA,453
OG1937,hypothetical protein,70
OG1938,hypothetical protein,108
OG1939,Group II intron-encoded protein LtrA,599
OG1940,HTH-type transcriptional regulator AdhR,115
OG1941,hypothetical protein,314
OG1942,hypothetical protein,167
OG1943,hypothetical protein,604
OG1944,hypothetical protein,54
OG1945,hypothetical protein,359
OG1946,hypothetical protein,75
OG1947,hypothetical protein,437
OG1948,hypothetical protein,101
OG1949,hypothetical protein,111
OG1950,hypothetical protein,160
OG1951,hypothetical protein,146
OG1952,hypothetical protein,208
OG1953,hypothetical protein,114
OG1954,hypothetical protein,129
OG1955,Response regulator ArlR AND Transcriptional regulatory protein TcrA,224
OG1956,hypothetical protein,152
OG1957,hypothetical protein,483
OG1958,hypothetical protein,57
OG1959,hypothetical protein,88
OG1960,hypothetical protein,42
OG1961,Multidrug resistance ABC transporter ATP-binding and permease protein,59
OG1962,hypothetical protein,78
OG1963,hypothetical protein,113
OG1964,Transcriptional regulator SlyA,160
OG1965,hypothetical protein,32
OG1966,Tyrosine recombinase XerC,374
OG1967,Replication initiation protein,375
OG1968,hypothetical protein,204
OG1969,hypothetical protein,111
OG1970,hypothetical protein,115
OG1971,hypothetical protein,276
OG1972,hypothetical protein,114
OG1973,hypothetical protein,232
OG1974,hypothetical protein,103
OG1975,putative HTH-type transcriptional regulator AND HTH-type transcriptional regulator AdhR,123
OG1976,30S ribosomal protein S21,58
OG1977,hypothetical protein,113
OG1978,hypothetical protein,362
OG1979,hypothetical protein,358
OG1980,hypothetical protein,199
OG1981,hypothetical protein,321
OG1982,hypothetical protein,588
OG1983,hypothetical protein,49
OG1984,hypothetical protein,255
OG1985,UDP-galactopyranose mutase,384
OG1986,Putative O-antigen transporter,472
OG1987,hypothetical protein,52
OG1988,"Tetracycline resistance protein, class C",397
OG1989,hypothetical protein,85
OG1990,hypothetical protein,132
OG1991,Tyrosine recombinase XerD,385
OG1992,hypothetical protein,87
OG1993,hypothetical protein,62
OG1994,hypothetical protein,293
OG1995,hypothetical protein,199
OG1996,hypothetical protein,165
OG1997,Tyrosine recombinase XerC,371
OG1998,Purine efflux pump PbuE,381
OG1999,hypothetical protein,56
OG2000,putative HTH-type transcriptional regulator YbbH,273
OG2001,O-antigen biosynthesis glycosyltransferase WbnK,329
OG2002,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,326
OG2003,hypothetical protein,60
OG2004,hypothetical protein,565
OG2005,hypothetical protein,89
OG2006,hypothetical protein,50
OG2007,hypothetical protein,56
OG2008,Putative prophage phiRv2 integrase,398
OG2009,putative ABC transporter ATP-binding protein,187
OG2010,HTH-type transcriptional regulator CueR,117
OG2011,hypothetical protein,74
OG2012,Lipid II:glycine glycyltransferase,396
OG2013,30S ribosomal protein S13,121
OG2014,hypothetical protein,474
OG2015,hypothetical protein,172
OG2016,hypothetical protein,71
OG2017,Translation initiation factor IF-1,72
OG2018,50S ribosomal protein L30,59
OG2019,hypothetical protein,31
OG2020,30S ribosomal protein S14 type Z,61
OG2021,50S ribosomal protein L5,180
OG2022,50S ribosomal protein L24,101
OG2023,Type-1 restriction enzyme R protein,1117
OG2024,hypothetical protein,539
OG2025,hypothetical protein,145
OG2026,hypothetical protein,162
OG2027,hypothetical protein,109
OG2028,hypothetical protein,189
OG2029,Multicopper oxidase mco,509
OG2030,Riboflavin transporter RibZ,457
OG2031,hypothetical protein,154
OG2032,HTH-type transcriptional activator RhaR,299
OG2033,hypothetical protein,393
OG2034,50S ribosomal protein L14,122
OG2035,hypothetical protein,31
OG2036,hypothetical protein,121
OG2037,30S ribosomal protein S17,86
OG2038,50S ribosomal protein L29,69
OG2039,50S ribosomal protein L16,137
OG2040,Multidrug export protein MepA,459
OG2041,hypothetical protein,79
OG2042,hypothetical protein,1463
OG2043,Multidrug export protein MepA,186
OG2044,hypothetical protein,44
OG2045,hypothetical protein,232
OG2046,hypothetical protein,544
OG2047,Inner membrane ABC transporter permease protein YcjP,287
OG2048,50S ribosomal protein L23,97
OG2049,hypothetical protein,184
OG2050,hypothetical protein,117
OG2051,hypothetical protein,166
OG2052,hypothetical protein,103
OG2053,hypothetical protein,232
OG2054,"1,4-alpha-glucan branching enzyme GlgB",648
OG2055,hypothetical protein,268
OG2056,Protein glycosylation K,184
OG2057,hypothetical protein,146
OG2058,hypothetical protein,180
OG2059,hypothetical protein,181
OG2060,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase AND Oxidoreductase UcpA,261
OG2061,"Endo-1,4-beta-xylanase C",274
OG2062,Foldase protein PrsA,299
OG2063,50S ribosomal protein L4,208
OG2064,Putative pre-16S rRNA nuclease,143
OG2065,hypothetical protein,88
OG2066,50S ribosomal protein L3,207
OG2067,Inner membrane transporter YcaM,536
OG2068,50S ribosomal protein L34,44
OG2069,Membrane protein insertase MisCA,269
OG2070,Ribonuclease P protein component,117
OG2071,hypothetical protein,191
OG2072,hypothetical protein,86
OG2073,Multidrug resistance protein MdtG,401
OG2074,hypothetical protein,187
OG2075,Argininosuccinate synthase,398
OG2076,hypothetical protein,414
OG2077,hypothetical protein,69
OG2078,putative ABC transporter permease,357
OG2079,putative N-acetyltransferase YycN,153
OG2080,hypothetical protein,124
OG2081,hypothetical protein,46
OG2082,SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,276
OG2083,50S ribosomal protein L33 3,49
OG2084,hypothetical protein,81
OG2085,hypothetical protein,69
OG2086,hypothetical protein,122
OG2087,Large-conductance mechanosensitive channel,63
OG2088,hypothetical protein,89
OG2089,hypothetical protein,87
OG2090,6-phospho-beta-galactosidase,468
OG2091,GTP cyclohydrolase 1 type 2,91
OG2092,PTS system lactose-specific EIICB component,568
OG2093,hypothetical protein,161
OG2094,hypothetical protein,126
OG2095,30S ribosomal protein S7,155
OG2096,30S ribosomal protein S12,137
OG2097,Tagatose-6-phosphate kinase,310
OG2098,Galactose-6-phosphate isomerase subunit LacA,141
OG2099,hypothetical protein,80
OG2100,hypothetical protein,70
OG2101,hypothetical protein,101
OG2102,hypothetical protein,116
OG2103,Lactose phosphotransferase system repressor,255
OG2104,hypothetical protein,93
OG2105,Acetylornithine deacetylase,373
OG2106,hypothetical protein,198
OG2107,hypothetical protein,122
OG2108,hypothetical protein,94
OG2109,hypothetical protein,124
OG2110,Calcium-transporting ATPase,918
OG2111,"Poly-beta-1,6-N-acetyl-D-glucosamine synthase",406
OG2112,hypothetical protein,614
OG2113,Glyceraldehyde-3-phosphate dehydrogenase,336
OG2114,hypothetical protein,73
OG2115,hypothetical protein,174
OG2116,hypothetical protein,70
OG2117,hypothetical protein,201
OG2118,hypothetical protein,107
OG2119,hypothetical protein,93
OG2120,hypothetical protein,100
OG2121,hypothetical protein,91
OG2122,hypothetical protein,114
OG2123,hypothetical protein,275
OG2124,Maltose transport system permease protein MalG,288
OG2125,hypothetical protein,460
OG2126,Maltose/maltodextrin-binding protein,409
OG2127,hypothetical protein,196
OG2128,hypothetical protein,211
OG2129,hypothetical protein,145
OG2130,hypothetical protein,72
OG2131,hypothetical protein,170
OG2132,hypothetical protein,411
OG2133,hypothetical protein,502
OG2134,hypothetical protein,95
OG2135,hypothetical protein,368
OG2136,hypothetical protein,372
OG2137,hypothetical protein,110
OG2138,hypothetical protein,117
OG2139,hypothetical protein,180
OG2140,hypothetical protein,120
OG2141,hypothetical protein,141
OG2142,hypothetical protein,136
OG2143,hypothetical protein,123
OG2144,hypothetical protein,1569
OG2145,hypothetical protein,121
OG2146,hypothetical protein,847
OG2147,hypothetical protein,45
OG2148,hypothetical protein,64
OG2149,hypothetical protein,316
OG2150,hypothetical protein,279
OG2151,hypothetical protein,111
OG2152,hypothetical protein,32
OG2153,Beta-glucoside kinase,293
OG2154,hypothetical protein,115
OG2155,hypothetical protein,406
OG2156,Isochorismatase family protein YecD,195
OG2157,Exo-glucosaminidase LytG,209
OG2158,hypothetical protein,250
OG2159,Regulatory protein Spx,123
OG2160,hypothetical protein,108
OG2161,UDP-N-acetylglucosamine 2-epimerase,125
OG2162,hypothetical protein,824
OG2163,Choloylglycine hydrolase AND Penicillin acylase,323
OG2164,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive AND Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive AND Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",340
OG2165,hypothetical protein,56
OG2166,hypothetical protein,95
OG2167,hypothetical protein,74
OG2168,Beta-xylosidase,553
OG2169,hypothetical protein,192
OG2170,Teichoic acid glycerol-phosphate transferase AND Teichoic acid poly(glycerol phosphate) polymerase,395
OG2171,Diacetyl reductase [(S)-acetoin forming],253
OG2172,Alkaline phosphatase synthesis sensor protein PhoR,85
OG2173,Thiosulfate sulfurtransferase GlpE,102
OG2174,hypothetical protein,79
OG2175,hypothetical protein,227
OG2176,hypothetical protein,312
OG2177,hypothetical protein,183
OG2178,HTH-type transcriptional regulator AdhR,134
OG2179,hypothetical protein,132
OG2180,hypothetical protein,69
OG2181,hypothetical protein,88
OG2182,hypothetical protein,74
OG2183,hypothetical protein,244
OG2184,hypothetical protein,132
OG2185,hypothetical protein,82
OG2186,hypothetical protein,74
OG2187,hypothetical protein,174
OG2188,Coenzyme PQQ synthesis protein E,275
OG2189,hypothetical protein,285
OG2190,hypothetical protein,230
OG2191,hypothetical protein,202
OG2192,6-phospho-beta-glucosidase GmuD,479
OG2193,hypothetical protein,79
OG2194,"Glycosyltransferase Gtf1 AND GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase",366
OG2195,hypothetical protein,474
OG2196,hypothetical protein,217
OG2197,hypothetical protein,117
OG2198,hypothetical protein,137
OG2199,hypothetical protein,337
OG2200,hypothetical protein,109
OG2201,hypothetical protein,83
OG2202,hypothetical protein,83
OG2203,hypothetical protein,112
OG2204,hypothetical protein,290
OG2205,hypothetical protein,89
OG2206,hypothetical protein,688
OG2207,3-sulfolactaldehyde reductase,82
OG2208,hypothetical protein,240
OG2209,2-hydroxy-3-oxopropionate reductase,293
OG2210,hypothetical protein,164
OG2211,hypothetical protein,102
OG2212,hypothetical protein,80
OG2213,hypothetical protein,164
OG2214,hypothetical protein,199
OG2215,hypothetical protein,130
OG2216,Maltose epimerase,353
OG2217,hypothetical protein,121
